KANAL LİSTESİ
==================================================

24                                  tr.24
360                                 tr.360
A Haber                             tr.ahaber
A Para                              tr.apara
A Spor                              tr.aspor
A2                                  tr.a2
Akit TV                             tr.akittv
Al Quran Al Kareem TV               tr.alquranalkareem
Al Sunnah Al Nabawiyah              tr.alsunnah
As TV                               tr.astv
Atv                                 tr.atv
Atv Avrupa                          tr.atvavrupa
Azoomee                             tr.azoomee
Babytv                              tr.babytv
BBC Earth                           tr.bbcearth
BBC First                           tr.bbcfirst
beIN Gurme                          tr.beingurme
beIN Home Entertainment             tr.beinhomeentertainment
beIN Iz                             tr.beiniz
beIN Movies Action 2                tr.beinmoviesaction2
beIN Movies Premiere                tr.beinmoviespremiere
beIN Movies Stars                   tr.beinmoviesstars
beIN Movies Turk                    tr.beinmoviesturk
beIN Series 1                       tr.beinseries1
beIN Series 2                       tr.beinseries2
beIN Sports 1                       tr.beinsports1
beIN Sports 2                       tr.beinsports2
beIN Sports 3                       tr.beinsports3
beIN Sports 4                       tr.beinsports4
beIN Sports 5                       tr.beinsports5
beIN Sports Haber                   tr.beinsportshaber
beIN Sports Max 1                   tr.beinsportsmax1
beIN Sports Max 2                   tr.beinsportsmax2
Benguturk                           tr.benguturk
Beyaz TV                            tr.beyaztv
Bi Kanal TV                         tr.bikanal
Bizim Ev TV                         tr.bizimevtv
Bloomberg HT                        tr.bloomberght
BRT 1                               tr.brt1
BRT 2                               tr.brt2
Cartoon Network                     tr.cartoonnetwork
Cartoonito                          tr.cartoonito
Cbeebies                            tr.cbeebies
Cctv4                               tr.cctv4
CGTN                                tr.cgtn
Ciftci TV                           tr.ciftcitv
Classical Harmony                   tr.classicalharmony
CNBC E                              tr.cnbce
CNN International                   tr.cnninternational
CNN Turk                            tr.cnnturk
Cosmo En                            tr.cosmoen
Cosmosports                         tr.cosmosports
Da Vinci                            tr.davinci
Discovery Channel                   tr.discoverychannel
Disney Junior                       tr.disneyjunior
DMAX                                tr.dmax
Docuscreen                          tr.docuscreen
Dream Turk                          tr.dreamturk
Duck TV                             tr.ducktv
Ekol TV                             tr.ekoltv
Ekoturk                             tr.ekoturk
English Club TV                     tr.englishclubtv
Epic Drama                          tr.epicdrama
Eurosport 1                         tr.eurosport1
Eurosport 2                         tr.eurosport2
FB TV                               tr.fbtv
Filmscreen                          tr.filmscreen
Flash Haber                         tr.flashhaber
Fm TV                               tr.fmtv
France 24                           tr.france24
FX                                  tr.fx
GS TV                               tr.gstv
Gzt TV                              tr.gzttv
Haber Global                        tr.haberglobal
Haberturk                           tr.haberturk
Habitat TV                          tr.habitattv
Halk TV                             tr.halktv
HT Spor                             tr.htspor
Kadirga TV                          tr.kadirgatv
Kanal 23                            tr.kanal23
Kanal 26                            tr.kanal26
Kanal 33                            tr.kanal33
Kanal 7                             tr.kanal7
Kanal 7 Avrupa                      tr.kanal7avrupa
Kanal Avrupa TV                     tr.kanalavrupatv
Kanal B                             tr.kanalb
Kanal D                             tr.kanald
Kanal T                             tr.kanalt
Kanal V                             tr.kanalv
Kibris Ada TV                       tr.kibrisadatv
Kibris Genc TV                      tr.kibrisgenctv
Kibris TV                           tr.kibristv
Kitchen TV                          tr.kitchentv
Kon TV                              tr.kontv
KRT TV                              tr.krttv
Lalegul TV                          tr.lalegultv
Langlab                             tr.langlab
Lider Haber TV                      tr.liderhabertv
Lingotoons TV                       tr.lingotoonstv
Love Nature                         tr.lovenature
Mcm Top                             tr.mcmtop
Meltem TV                           tr.meltemtv
Mezzo                               tr.mezzo
Minika Cocuk                        tr.minikacocuk
